report_id,reported_at,resolved_at,issue_type,severity,lat,lon,street_name,channel,estimated_impact_cost,district_hint,resolution_days,is_unresolved,report_month,report_week,severity_band,district
MR209632,2024-01-04 00:00:00,2024-01-12 09:01:58,unsafe crossng,3.0,37.72660240228825,-122.398385933544,Hillcrest Ave,phone,1105.03,D04,8.0,False,2024-01,2024-01-01/2024-01-07,medium,Civic East
MR204209,2024-01-04 00:00:00,,missing sign,4.0,37.76018739033016,-122.467683873631,Hillcrest Ave,app,381.73,D06,804.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR212612,2024-01-04 03:17:51,,lane blocked,4.0,37.80698093060124,-122.538531364217,Market St,app,1629.34,D12,804.0,True,2024-01,2024-01-01/2024-01-07,high,West Junction
MR200029,2024-01-04 03:26:32,,missing sign,3.0,37.80246,-122.539,Grant St,app,289.85,D09,804.0,True,2024-01,2024-01-01/2024-01-07,medium,West Junction
MR209572,2024-01-04 03:27:43,2024-01-06 05:02:39,pothole near crossing,3.0,37.70013437705768,-122.376802499284,Cedar Rd,Web Form,1193.06,D04,2.0,False,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR211963,2024-01-04 05:13:00,,bus stop damage,3.0,37.701120664639326,-122.417516948712,Harbor Ave,web,626.23,D03,804.0,True,2024-01,2024-01-01/2024-01-07,medium,Civic East
MR204650,2024-01-04 06:39:03,2024-01-10 08:50:10,pothole near crossing,3.0,37.80710218710308,-122.489726727807,Cedar Rd,app,416.49,D09,6.0,False,2024-01,2024-01-01/2024-01-07,medium,North Commons
MR205500,2024-01-04 07:07:43,2024-01-08 22:43:00,pothole near crossing,3.0,37.76405205154081,-122.405925785353,,phone,715.92,,4.0,False,2024-01,2024-01-01/2024-01-07,medium,Midtown
MR204788,2024-01-04 09:07:22,2024-01-20 19:55:59,broken traffic light,5.0,37.7538,-122.5402,Grant St,web,1834.47,D05,16.0,False,2024-01,2024-01-01/2024-01-07,high,University
MR204984,2024-01-04 11:35:00,2024-01-07 04:46:47,unsafe crossing,2.0,37.744746356416,-122.479993262995,River Rd,email,1021.51,D06,2.0,False,2024-01,2024-01-01/2024-01-07,low,Central Exchange
MR206947,2024-01-04 11:40:00,2024-01-13 13:04:32,busstop damage,5.0,37.80366,-122.397628,Market St,app,1168.98,D12,9.0,False,2024-01,2024-01-01/2024-01-07,high,Airport Link
MR214726,2024-01-04 13:07:18,2024-01-06 19:25:16,missing sign,5.0,37.714,-122.37918,Harbor Ave,phone,303.42,D04,2.0,False,2024-01,2024-01-01/2024-01-07,high,Bayview
MR200058,2024-01-04 16:47:07,2024-01-15 20:15:27,pothole near crossing,4.0,37.705096706601445,-122.384882400999,Union Blvd,web,522.3,D04,11.0,False,2024-01,2024-01-01/2024-01-07,high,Bayview
MR207197,2024-01-04 16:48:15,,pothole near crossing,5.0,37.762504125459046,-122.501611487982,Maple Dr,email,,D06,803.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR203490,2024-01-04 17:43:00,2024-01-09 02:18:50,missing sign,3.0,37.76667834192229,-122.488184083531,Market St,phone,706.42,D10,4.0,False,2024-01,2024-01-01/2024-01-07,medium,Central Exchange
MR221959,2024-01-04 20:34:06,2024-08-01 13:22:00,sidewalk obstruction,2.0,37.783,-122.399929,,app,120.21,D08,209.0,False,2024-01,2024-01-01/2024-01-07,low,Riverside
MR201158,2024-01-04 22:18:12,2024-01-15 17:35:12,bus stop damage,4.0,37.76608,-122.515815,Maple Dr,web,656.61,D05,10.0,False,2024-01,2024-01-01/2024-01-07,high,University
MR212993,2024-01-04 22:25:00,,blocked lane,5.0,37.69607548763676,-122.360922247843,Grant St,app,2107.78,D04,803.0,True,2024-01,2024-01-01/2024-01-07,high,Bayview
MR213125,2024-01-04 22:36:00,,pothole near crossing,3.0,37.70532984106866,-122.377716814709,Pine Ave,web,988.72,D04,803.0,True,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR215407,2024-01-05 00:15:19,2024-01-10 00:00:00,missng sign,2.0,37.76460105214242,-122.381887380418,Grant St,app,310.93,D08,4.0,False,2024-01,2024-01-01/2024-01-07,low,Riverside
MR220285,2024-01-05 04:39:14,2024-01-13 08:40:24,unsafe crossing,3.0,37.82067,-122.5377,Grant St,app,966.47,D02,8.0,False,2024-01,2024-01-01/2024-01-07,medium,West Junction
MR200732,2024-01-05 05:31:49,2024-01-09 01:22:00,unsafe crossing,3.0,37.757710646015774,-122.422939373377,Union Blvd,web,1678.59,D07,3.0,False,2024-01,2024-01-01/2024-01-07,medium,Midtown
MR219897,2024-01-05 05:43:42,,blocked lane,4.0,37.74730186872091,-122.380038694524,Hillcrest Ave,web,1384.08,D08,803.0,True,2024-01,2024-01-01/2024-01-07,high,Riverside
MR221849,2024-01-05 05:59:31,,sidewalk obstruction,4.0,37.710655,-122.5192,Grant St,phone,473.55,D01,803.0,True,2024-01,2024-01-01/2024-01-07,high,Harbor North
MR209436,2024-01-05 06:15:09,2024-01-07 23:22:28,pothole near crossing,3.0,37.818880016019726,-122.381101082381,Elm St,web,676.76,D12,2.0,False,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR216456,2024-01-05 06:35:13,2024-01-11 08:23:38,unsafe crossing,5.0,37.7,-122.51258,Maple Dr,web,1392.25,D01,6.0,False,2024-01,2024-01-01/2024-01-07,high,Harbor North
MR208257,2024-01-05 09:29:54,2024-01-07 11:17:47,unsafe crossing,3.0,37.78349749667812,-122.497702893095,Maple Dr,web,1451.44,D06,2.0,False,2024-01,2024-01-01/2024-01-07,medium,Central Exchange
MR216685,2024-01-05 09:59:00,2024-05-05 07:04:00,obstructed sidewalk,3.0,37.75012487606745,-122.500672680763,Transit Way,app,283.99,D06,120.0,False,2024-01,2024-01-01/2024-01-07,medium,Central Exchange
MR218403,2024-01-05 10:18:00,2024-05-04 07:42:14,unsafe crossng,4.0,37.70973092023196,-122.399577369221,Hillcrest Ave,,1196.69,D04,119.0,False,2024-01,2024-01-01/2024-01-07,high,Civic East
MR212591,2024-01-05 12:20:52,2024-01-08 19:26:48,bus stop damage,4.0,37.70421334762485,-122.495260689523,Grant St,web,1205.53,D02,3.0,False,2024-01,2024-01-01/2024-01-07,high,Old Market
MR203995,2024-01-05 13:26:31,2024-01-11 16:16:14,sidewalk obstruction,3.0,37.75886664810016,-122.498554325525,Transit Way,app,519.55,D08,6.0,False,2024-01,2024-01-01/2024-01-07,medium,Central Exchange
MR210822,2024-01-05 16:14:00,,unsafe crossing,3.0,37.80615533132006,-122.389396539201,Pine Ave,web,1276.8,D12,802.0,True,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR213841,2024-01-05 16:28:43,,unsafe crossing,2.0,37.72973,-122.4012,,app,1281.04,D07,802.0,True,2024-01,2024-01-01/2024-01-07,low,Civic East
MR212352,2024-01-05 19:10:00,2024-05-04 15:53:24,unsafe crossing,3.0,37.71560356437258,-122.432373367712,Market St,web,,D03,119.0,False,2024-01,2024-01-01/2024-01-07,medium,Civic East
MR215759,2024-01-05 19:21:56,,unsafe crossing,3.0,37.706139471788326,-122.398249873551,Cedar Rd,web,1122.14,D03,802.0,True,2024-01,2024-01-01/2024-01-07,medium,Civic East
MR213282,2024-01-05 20:07:42,2024-01-08 17:48:03,sidewalk obstruction,1.0,37.81924533310416,-122.475553729371,Union Blvd,app,332.74,D10,2.0,False,2024-01,2024-01-01/2024-01-07,low,North Commons
MR219183,2024-01-05 20:23:05,2024-01-09 00:50:43,blocked lane,3.0,37.693869438946265,-122.383298269168,Hillcrest Ave,app,1318.4,D04,3.0,False,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR211168,2024-01-05 20:27:42,,sidewalk obstruction,1.0,37.79247,-122.389,Grant St,web,333.91,D12,802.0,True,2024-01,2024-01-01/2024-01-07,low,Airport Link
MR204487,2024-01-05 23:05:00,,unsafe crossing,4.0,37.7384,-122.4802,Hillcrest Ave,,1753.38,D06,802.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR217748,2024-01-06 00:00:00,2024-01-11 00:00:00,traffic light broken,4.0,37.739,-122.355,Harbor Ave,app,,D04,5.0,False,2024-01,2024-01-01/2024-01-07,high,Riverside
MR215005,2024-01-06 00:00:00,2024-01-08 11:55:46,pothole near crossing,2.0,37.71034555236438,-122.505605705859,Grant St,App,882.13,D02,2.0,False,2024-01,2024-01-01/2024-01-07,low,Old Market
MR215191,2024-01-06 01:50:12,2024-01-12 23:28:39,sidewalk obstruction,2.0,37.71112603066854,-122.461838911791,Elm St,app,623.18,D02,6.0,False,2024-01,2024-01-01/2024-01-07,low,Old Market
MR217505,2024-01-06 03:43:00,,broken traffic light,4.0,37.71517574603908,-122.523695595926,Cedar Rd,web,1799.86,D01,802.0,True,2024-01,2024-01-01/2024-01-07,high,Harbor North
MR217162,2024-01-06 04:01:24,2024-01-11 19:39:49,pothole near crossing,3.0,37.82700353671365,-122.476140209763,Hillcrest Ave,app,253.48,D10,5.0,False,2024-01,2024-01-01/2024-01-07,medium,North Commons
MR220234,2024-01-06 04:13:27,2024-11-01 22:21:00,missing sign,3.0,37.80218282764408,-122.519256991539,Pine Ave,,534.94,D09,300.0,False,2024-01,2024-01-01/2024-01-07,medium,West Junction
MR201924,2024-01-06 04:26:18,2024-01-12 20:39:09,missing sign,3.0,37.81502099553229,-122.413908950139,River Rd,phone,373.66,,6.0,False,2024-01,2024-01-01/2024-01-07,medium,Medical Quarter
MR201881,2024-01-06 05:06:45,2024-01-17 22:33:12,unsafe crossing,5.0,37.7536779382651,-122.406572662632,Harbor Ave,web,871.68,D07,11.0,False,2024-01,2024-01-01/2024-01-07,high,Midtown
MR204420,2024-01-06 05:23:00,2024-01-16 15:14:14,unsafe crossing,3.0,37.79637631312297,-122.436058258304,Union Blvd,web,1139.03,D11,10.0,False,2024-01,2024-01-01/2024-01-07,medium,Medical Quarter
MR219917,2024-01-06 06:50:18,,blocked lane,1.0,37.71821831561469,-122.393506159082,Hillcrest Ave,phone,953.62,D04,802.0,True,2024-01,2024-01-01/2024-01-07,low,Bayview
MR206536,2024-01-06 07:25:00,,unsafe crossing,2.0,37.79169084046496,-122.450416644766,,web,1458.89,D12,802.0,True,2024-01,2024-01-01/2024-01-07,low,North Commons
MR208308,2024-01-06 08:43:52,2024-01-11 18:39:00,unsafe crossing,2.0,37.76136699456022,-122.521623795727,Hillcrest Ave,app,1278.81,D05,5.0,False,2024-01,2024-01-01/2024-01-07,low,University
MR206264,2024-01-06 11:01:09,,pothole near crossing,5.0,37.747133,-122.39825,,phone,556.92,D07,802.0,True,2024-01,2024-01-01/2024-01-07,high,Riverside
MR218290,2024-01-06 11:07:19,2024-01-09 20:36:39,unsafe crossing,2.0,37.708,-122.535512,Grant St,app,,D01,3.0,False,2024-01,2024-01-01/2024-01-07,low,Harbor North
MR218411,2024-01-06 11:42:59,2024-01-11 10:20:20,broken traffic light,4.0,37.70752710666745,-122.489900361195,Market St,web,3652.31,D02,4.0,False,2024-01,2024-01-01/2024-01-07,high,Old Market
MR212069,2024-01-06 11:53:04,2024-01-12 00:00:00,blocked lane,2.0,37.7795477756017,-122.352316921729,Market St,,1609.73,D08,5.0,False,2024-01,2024-01-01/2024-01-07,low,Riverside
MR210479,2024-01-06 11:57:05,,blocked lane,3.0,37.77026433568504,-122.385193682062,Harbor Ave,web,1717.11,D08,801.0,True,2024-01,2024-01-01/2024-01-07,medium,Riverside
MR212837,2024-01-06 14:30:44,,blocked lane,3.0,37.803619474515216,-122.385559547253,,web,1577.11,D12,801.0,True,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR205508,2024-01-06 14:59:43,2024-01-23 02:59:03,pothole near crossing,1.0,37.833042,-122.485411,Maple Dr,app,447.73,D10,16.0,False,2024-01,2024-01-01/2024-01-07,low,North Commons
MR214789,2024-01-06 16:56:00,,missing sign,3.0,37.69686821416161,-122.521719798625,Transit Way,,386.6,D01,801.0,True,2024-01,2024-01-01/2024-01-07,medium,Harbor North
MR211640,2024-01-06 18:18:15,2024-01-24 04:15:50,broken traffic light,5.0,37.755484,-122.4279,Harbor Ave,app,937.99,D07,17.0,False,2024-01,2024-01-01/2024-01-07,high,Midtown
MR213465,2024-01-06 18:31:54,,unsafe crossing,3.0,37.82381,-122.366,Harbor Ave,web,1363.24,D12,801.0,True,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR212961,2024-01-06 19:14:16,2024-01-11 01:51:45,pothole near crossing,2.0,37.69289782330229,-122.356436806345,Grant St,app,330.22,D05,4.0,False,2024-01,2024-01-01/2024-01-07,low,Bayview
MR214881,2024-01-06 19:53:00,,pothole near crossing,4.0,37.74958870831061,-122.467217555544,Grant St,phone,384.75,D06,801.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR214337,2024-01-06 22:38:00,,missng sign,4.0,37.80453239630869,-122.489776438428,Grant St,web,649.41,D10,801.0,True,2024-01,2024-01-01/2024-01-07,high,North Commons
MR217529,2024-01-07 00:00:00,,pothole near crossing,5.0,37.68645,-122.47296,Union Blvd,,533.85,D02,801.0,True,2024-01,2024-01-01/2024-01-07,high,Old Market
MR220879,2024-01-07 02:33:56,2024-01-11 08:21:00,pothole near crossing,3.0,37.70191448019208,-122.445309251504,Pine Ave,app,492.92,D03,4.0,False,2024-01,2024-01-01/2024-01-07,medium,Civic East
MR220335,2024-01-07 02:44:57,2024-01-20 05:27:28,unsafe crossing,4.0,37.758632512700295,-122.440417446981,Cedar Rd,web,1072.27,D07,13.0,False,2024-01,2024-01-01/2024-01-07,high,Midtown
MR210937,2024-01-07 03:49:35,2024-01-14 16:51:55,unsafe crossing,3.0,37.722515052226086,-122.503611487982,Maple Dr,web,643.53,,7.0,False,2024-01,2024-01-01/2024-01-07,medium,Old Market
MR209540,2024-01-07 04:15:42,,broken traffic light,4.0,37.710959366770766,-122.444557713336,Maple Dr,App,1527.18,D02,801.0,True,2024-01,2024-01-01/2024-01-07,high,Civic East
MR204451,2024-01-07 04:28:21,,sidewalk obstruction,3.0,37.76751676332536,-122.487246592728,Broadway,app,,D06,801.0,True,2024-01,2024-01-01/2024-01-07,medium,Central Exchange
MR221635,2024-01-07 04:47:04,2024-01-10 17:38:29,blocked lane,4.0,37.8057,-122.509,Maple Dr,phone,,D02,3.0,False,2024-01,2024-01-01/2024-01-07,high,West Junction
MR213593,2024-01-07 06:55:31,,missing sign,3.0,37.820788,-122.445,Broadway,app,,,801.0,True,2024-01,2024-01-01/2024-01-07,medium,Medical Quarter
MR219453,2024-01-07 09:10:14,,broken traffic light,4.0,37.687208,-122.4044,Hillcrest Ave,app,3948.16,D03,801.0,True,2024-01,2024-01-01/2024-01-07,high,Civic East
MR221679,2024-01-07 09:56:00,2024-01-08 08:45:49,pothole near crossing,2.0,37.74754540803034,-122.518846185092,Pine Ave,web,229.81,D01,0.0,False,2024-01,2024-01-01/2024-01-07,low,University
MR209704,2024-01-07 11:04:00,2024-01-12 15:42:59,pothole near crossing,5.0,37.80528799451527,-122.522502513848,Pine Ave,web,,D09,5.0,False,2024-01,2024-01-01/2024-01-07,high,West Junction
